,co2,longitude,latitude,time
163,384.70398,101.00127,76.283806,2009-04-21 07:28:46.079499
164,395.4302,103.97862,74.50678,2009-04-21 07:29:21.755307
165,389.73325,98.857056,75.0462,2009-04-21 07:29:26.215230
166,394.23392,94.186615,71.17961,2009-04-21 07:30:15.267871
167,410.74014,102.73221,63.900467,2009-04-21 07:32:02.294488
168,385.46414,97.41682,62.038246,2009-04-21 07:32:42.430299
169,400.96152,100.16039,61.408268,2009-04-21 07:32:46.889458
170,388.66785,99.06129,60.148735,2009-04-21 07:32:51.349382
171,401.43533,96.36985,60.759995,2009-04-21 07:32:55.808581
172,394.19687,93.58437,61.27307,2009-04-21 07:33:00.268464
173,397.7617,89.91963,60.36588,2009-04-21 07:33:18.105664
174,407.92328,92.70452,59.96936,2009-04-21 07:33:22.564783
175,395.6036,95.385826,59.46882,2009-04-21 07:33:27.024787
176,394.33798,97.954124,58.87608,2009-04-21 07:33:31.483986
177,390.3542,97.00358,57.600452,2009-04-21 07:33:35.944272
178,395.31656,94.48219,58.18068,2009-04-21 07:33:40.403029
179,396.42377,91.882675,58.65944,2009-04-21 07:33:44.863354
180,398.68884,89.19856,59.04831,2009-04-21 07:33:49.322192
181,398.19522,86.43833,59.34572,2009-04-21 07:33:53.781471
182,393.8824,85.89717,57.995834,2009-04-21 07:33:58.240148
183,397.00772,88.529396,57.73085,2009-04-21 07:34:02.700594
184,394.82654,91.11448,57.34659,2009-04-21 07:34:07.159311
185,391.32144,90.39338,56.031075,2009-04-21 07:34:29.456876
186,398.25742,87.88809,56.39886,2009-04-21 07:34:33.916076
187,390.24335,85.32013,56.68046,2009-04-21 07:34:38.375959
188,398.30963,87.29073,55.070255,2009-04-21 07:34:47.295082
189,390.81558,89.7126,54.71041,2009-04-21 07:34:51.754281
190,391.18463,92.068115,54.262814,2009-04-21 07:34:56.214164
191,392.46097,94.345604,53.72861,2009-04-21 07:35:00.672318
192,395.29272,93.60678,52.428036,2009-04-21 07:35:05.133287
193,402.07492,91.362656,52.954803,2009-04-21 07:35:09.591440
194,397.19635,89.06915,53.387703,2009-04-21 07:35:14.052370
195,390.39142,86.71873,53.740337,2009-04-21 07:35:18.510563
196,391.69034,84.31432,54.009144,2009-04-21 07:35:22.970969
